id,year,income,years_from_layoff
11.0,10.0,30140.411291883433,Inf
11.0,11.0,27769.019583971996,5.0
12.0,1.0,30472.73981221308,-5.0
12.0,2.0,28527.46879684892,Inf
12.0,3.0,30268.20229749826,Inf
12.0,4.0,29708.79464122109,Inf
12.0,5.0,30394.908061328282,-1.0
12.0,6.0,28657.041512022068,Inf
12.0,7.0,29324.048358319214,Inf
12.0,8.0,29184.98380824102,2.0
12.0,9.0,32326.99524314602,3.0
12.0,10.0,30232.341087464192,4.0
12.0,11.0,28257.19794103426,Inf
13.0,1.0,32307.718039071784,Inf
13.0,2.0,29700.815137857688,Inf
13.0,3.0,29933.259375686983,-3.0
13.0,4.0,30125.658297235263,-2.0
13.0,5.0,29417.434647387236,Inf
13.0,6.0,31304.54053396404,Inf
13.0,7.0,29364.591920693685,Inf
13.0,8.0,30000.27117518303,Inf
13.0,9.0,29147.871739374146,3.0
13.0,10.0,31433.22122054074,Inf
13.0,11.0,29835.388035642398,5.0
14.0,1.0,30203.211671231427,-5.0
14.0,2.0,29438.894840079018,Inf
14.0,3.0,29869.456333016733,Inf
14.0,4.0,30342.381047422412,-2.0
14.0,5.0,28804.732622488125,Inf
14.0,6.0,29287.331454277868,0.0
14.0,7.0,33000.18225906733,Inf
14.0,8.0,30920.76998253044,2.0
14.0,9.0,28797.124841032237,Inf
14.0,10.0,29600.761506581675,4.0
14.0,11.0,28849.13795201949,5.0
15.0,1.0,28150.970012998583,-5.0
15.0,2.0,29378.876732424127,-4.0
15.0,3.0,31536.59592654333,-3.0
15.0,4.0,28955.571372457693,-2.0
15.0,5.0,30573.464887464328,Inf
15.0,6.0,28811.82742230733,0.0
15.0,7.0,30372.862422612656,Inf
15.0,8.0,30080.203749638604,2.0
15.0,9.0,29035.07984021262,3.0
15.0,10.0,29725.58451011203,Inf
15.0,11.0,30891.751745242924,5.0
16.0,1.0,28218.084606816843,Inf
16.0,2.0,31079.815772788992,Inf
16.0,3.0,30158.094886865118,Inf
16.0,4.0,29406.23576266477,Inf
16.0,5.0,29989.839422164707,Inf
16.0,6.0,30441.706110130413,Inf
16.0,7.0,29240.03770379101,Inf
16.0,8.0,29267.600738389767,Inf
16.0,9.0,29881.833629896082,3.0
16.0,10.0,30480.916052750035,Inf
16.0,11.0,31090.557326690043,Inf
17.0,1.0,31129.459827945273,-5.0
17.0,2.0,30467.506803276105,Inf
17.0,3.0,29948.677777649697,Inf
17.0,4.0,28590.67323214084,Inf
17.0,5.0,29048.741912271915,Inf
17.0,6.0,29562.79362625092,0.0
17.0,7.0,30643.590330416155,1.0
17.0,8.0,30906.29533882256,Inf
17.0,9.0,30082.06131429672,3.0
17.0,10.0,32498.777354812053,Inf
17.0,11.0,29436.14092815216,Inf
18.0,1.0,31717.68628475325,Inf
18.0,2.0,31114.470851136517,-4.0
18.0,3.0,30873.51572339003,-3.0
18.0,4.0,29771.018635108907,Inf
18.0,5.0,29226.819395917522,-1.0
18.0,6.0,31443.919952850025,Inf
18.0,7.0,31760.270850959452,1.0
18.0,8.0,30051.69219486708,Inf
18.0,9.0,29853.466973461498,3.0
18.0,10.0,30487.43735907066,Inf
18.0,11.0,29202.42054633223,Inf
19.0,1.0,31315.7937309775,Inf
19.0,2.0,29778.466370698054,Inf
19.0,3.0,31816.073387905974,-3.0
19.0,4.0,31140.769028042174,-2.0
19.0,5.0,28924.12343487633,Inf
19.0,6.0,30580.646943782394,0.0
19.0,7.0,32448.591570010653,1.0
19.0,8.0,30753.082758793673,Inf
19.0,9.0,30737.41845395632,3.0
19.0,10.0,31166.47720839028,4.0
19.0,11.0,28563.366781119938,5.0
20.0,1.0,30635.340719164986,-5.0
20.0,2.0,28858.47057214522,Inf
20.0,3.0,30322.314599316123,Inf
20.0,4.0,29862.856438797804,-2.0
20.0,5.0,29440.01972979194,Inf
20.0,6.0,29397.424469264974,0.0
20.0,7.0,28625.322249059893,Inf
20.0,8.0,31128.362582171092,2.0
20.0,9.0,28903.099668401566,Inf
20.0,10.0,31226.601479571524,Inf
20.0,11.0,30224.094312916783,5.0
21.0,1.0,30855.26197896251,Inf
21.0,2.0,29478.298815432343,Inf
21.0,3.0,28726.404524451696,-3.0
21.0,4.0,29618.475164257612,Inf
21.0,5.0,29847.266771279847,Inf
21.0,6.0,30035.44805824877,0.0
21.0,7.0,30946.17600870211,Inf
21.0,8.0,28793.437482513444,2.0
21.0,9.0,29114.070481949988,3.0
21.0,10.0,29353.80902451349,4.0
21.0,11.0,29835.11761071318,Inf
22.0,1.0,29974.26651014987,-5.0
22.0,2.0,29287.634001351147,Inf
22.0,3.0,31123.762432641786,Inf
22.0,4.0,30046.97465434406,Inf
22.0,5.0,29691.233711326186,Inf
22.0,6.0,30314.535401191337,Inf
22.0,7.0,31472.916097861496,1.0
22.0,8.0,29158.06242509478,2.0
22.0,9.0,29650.583470179958,3.0
22.0,10.0,30810.587386148614,Inf
22.0,11.0,28386.293289677647,5.0
23.0,1.0,30350.409626483368,-5.0
23.0,2.0,29246.095085532485,Inf
23.0,3.0,32164.17496658539,Inf
23.0,4.0,31462.596849420082,Inf
23.0,5.0,29964.789341677322,-1.0
23.0,6.0,29794.611479304833,0.0
23.0,7.0,30534.699686802862,Inf
23.0,8.0,31682.281421882846,2.0
23.0,9.0,29435.358140583376,Inf
23.0,10.0,31065.63919550327,4.0
23.0,11.0,31329.56401345309,5.0
24.0,1.0,29774.347793302182,-5.0
24.0,2.0,31441.424979940577,-4.0
24.0,3.0,28258.521739767777,-3.0
24.0,4.0,28885.952512816795,Inf
24.0,5.0,29258.32727015699,Inf
24.0,6.0,29839.50154698205,0.0
24.0,7.0,29566.321920559614,1.0
24.0,8.0,31274.589306481954,2.0
24.0,9.0,28893.586721100317,Inf
24.0,10.0,30767.336707903796,Inf
24.0,11.0,29322.433310021876,5.0
25.0,1.0,30016.650373256034,Inf
25.0,2.0,29241.32169986664,-4.0
25.0,3.0,28254.181641261275,-3.0
25.0,4.0,29653.88742296284,-2.0
25.0,5.0,30445.86404992158,-1.0
25.0,6.0,29923.040935618046,0.0
25.0,7.0,31328.256698660174,1.0
25.0,8.0,27862.07793246147,2.0
25.0,9.0,29247.745110524596,3.0
25.0,10.0,29057.943411961365,4.0
25.0,11.0,30772.36634897552,5.0
26.0,1.0,28941.729007742542,Inf
26.0,2.0,29948.712021110954,Inf
26.0,3.0,31274.49410415183,-3.0
26.0,4.0,29884.01804534923,Inf
26.0,5.0,31119.448412744372,-1.0
26.0,6.0,29360.759339680582,Inf
26.0,7.0,28697.84472655072,1.0
26.0,8.0,29860.137636795786,Inf
26.0,9.0,30212.045047292388,Inf
26.0,10.0,30077.13274423113,Inf
26.0,11.0,30145.809395706437,5.0
27.0,1.0,31372.19058411354,-5.0
27.0,2.0,30471.364673713837,Inf
27.0,3.0,31671.416630312862,-3.0
27.0,4.0,30298.281012088795,-2.0
27.0,5.0,30232.87765144939,-1.0
27.0,6.0,29618.380413828065,0.0
27.0,7.0,30871.675422381104,1.0
27.0,8.0,30347.246736633417,Inf
27.0,9.0,28754.580019726825,3.0
27.0,10.0,30073.383423145824,4.0
27.0,11.0,29052.264996476235,5.0
28.0,1.0,30600.392340500926,Inf
28.0,2.0,29637.593995416893,-4.0
28.0,3.0,32380.35102880358,-3.0
28.0,4.0,30580.6084148705,Inf
28.0,5.0,28883.067009147802,-1.0
28.0,6.0,29111.818735146142,0.0
28.0,7.0,29932.23949673522,1.0
28.0,8.0,29570.29542764365,Inf
28.0,9.0,31427.34210397724,3.0
28.0,10.0,29974.249909954407,Inf
28.0,11.0,30226.794620129756,Inf
29.0,1.0,30793.16759269336,-5.0
29.0,2.0,30792.62253621248,Inf
29.0,3.0,30583.911575480386,Inf
29.0,4.0,28483.87417176581,-2.0
29.0,5.0,29406.104467465204,Inf
29.0,6.0,29751.282989694977,0.0
29.0,7.0,30192.20524880802,Inf
29.0,8.0,29955.792374719076,Inf
29.0,9.0,31583.299984891448,3.0
29.0,10.0,29824.0699000398,Inf
29.0,11.0,29525.658486907374,5.0
30.0,1.0,27900.403979745563,Inf
30.0,2.0,28907.461841624427,Inf
30.0,3.0,29377.932346933096,Inf
30.0,4.0,29348.57060809453,-2.0
30.0,5.0,31260.15316915313,-1.0
30.0,6.0,29027.13345733833,Inf
30.0,7.0,31194.656915253006,1.0
30.0,8.0,29445.893598805338,Inf
30.0,9.0,31110.145733527967,3.0
30.0,10.0,29962.94153439041,4.0
30.0,11.0,29754.728123801448,5.0
31.0,1.0,29626.822671676862,Inf
31.0,2.0,30060.66552409523,Inf
31.0,3.0,28639.7837806139,-3.0
31.0,4.0,29814.974248954284,Inf
31.0,5.0,30042.744238961677,-1.0
31.0,6.0,31141.871833725138,0.0
31.0,7.0,29031.300676977993,1.0
31.0,8.0,27900.352318382604,Inf
31.0,9.0,29881.792828339207,3.0
31.0,10.0,31478.518782132112,Inf
31.0,11.0,29519.05165393128,5.0
32.0,1.0,32175.754728620777,Inf
32.0,2.0,29809.953177956362,-4.0
32.0,3.0,31831.798462607363,Inf
32.0,4.0,30274.644980213907,-2.0
32.0,5.0,29360.292348982024,-1.0
32.0,6.0,29344.3274180606,0.0
32.0,7.0,29852.033877140097,1.0
32.0,8.0,31362.786198061633,Inf
32.0,9.0,29914.43075353381,3.0
32.0,10.0,30045.61143941153,4.0
32.0,11.0,31162.111919380222,Inf
33.0,1.0,30460.495209009285,-5.0
33.0,2.0,30832.579383166205,-4.0
33.0,3.0,30806.1534502975,Inf
33.0,4.0,27927.36648411686,Inf
33.0,5.0,27313.557054399553,Inf
33.0,6.0,29884.409858294475,0.0
33.0,7.0,30716.592270601297,Inf
33.0,8.0,29895.577455888684,Inf
33.0,9.0,29737.826911001364,Inf
33.0,10.0,30950.28265496354,Inf
33.0,11.0,29398.34188539245,Inf
34.0,1.0,29483.710701919746,Inf
34.0,2.0,28901.707530380245,-4.0
34.0,3.0,28952.992850609888,Inf
34.0,4.0,30181.617000752547,Inf
34.0,5.0,31974.80154966881,Inf
34.0,6.0,30593.391143422847,Inf
34.0,7.0,28362.92183314334,Inf
34.0,8.0,30314.337928485347,2.0
34.0,9.0,30754.529288023412,3.0
34.0,10.0,28941.507835647346,4.0
34.0,11.0,29904.659507931166,Inf
35.0,1.0,29897.534413365793,Inf
35.0,2.0,29156.17764477319,Inf
35.0,3.0,31771.66073391212,-3.0
35.0,4.0,29890.000451452273,Inf
35.0,5.0,30330.97939408715,-1.0
35.0,6.0,30501.997061578724,Inf
35.0,7.0,27948.0212114346,Inf
35.0,8.0,29486.284187069592,2.0
35.0,9.0,30733.75850313142,3.0
35.0,10.0,30562.04167843002,Inf
35.0,11.0,29836.723606888798,Inf
36.0,1.0,31056.027306422886,Inf
36.0,2.0,31010.127217312915,-4.0
36.0,3.0,31385.2952771027,-3.0
36.0,4.0,28945.3791316306,-2.0
36.0,5.0,30279.533879050778,Inf
36.0,6.0,29807.35389031374,0.0
36.0,7.0,30500.692533891277,1.0
36.0,8.0,30686.29808710539,Inf
36.0,9.0,30679.24253642257,3.0
36.0,10.0,31938.918675072884,Inf
36.0,11.0,28034.42391559895,5.0
37.0,1.0,28656.39993799057,Inf
37.0,2.0,28700.009803620473,Inf
37.0,3.0,28289.72451130713,Inf
37.0,4.0,29432.168347103463,Inf
37.0,5.0,30477.29922973282,Inf
37.0,6.0,27848.076882766287,Inf
37.0,7.0,29464.88315129438,Inf
37.0,8.0,31019.30837583706,Inf
37.0,9.0,29447.530145454337,3.0
37.0,10.0,31661.701884922466,Inf
37.0,11.0,31506.139788445882,Inf
38.0,1.0,30293.64053620717,-5.0
38.0,2.0,30697.658618231144,-4.0
38.0,3.0,28834.710317638208,Inf
38.0,4.0,32098.72454399466,-2.0
38.0,5.0,31004.354127022965,Inf
38.0,6.0,29430.076476428123,Inf
38.0,7.0,28121.89200603884,1.0
38.0,8.0,31457.97279188997,Inf
38.0,9.0,31144.469118133486,Inf
38.0,10.0,29990.44388944734,Inf
38.0,11.0,29277.341740138963,5.0
39.0,1.0,29383.891668072247,Inf
39.0,2.0,29679.067836370537,-4.0
39.0,3.0,29610.55274503621,-3.0
39.0,4.0,29883.109511786894,Inf
39.0,5.0,28512.428663463317,-1.0
39.0,6.0,28857.490047933537,0.0
39.0,7.0,31021.84410688509,Inf
39.0,8.0,30700.44678875437,2.0
39.0,9.0,29181.355295401358,Inf
39.0,10.0,30105.888645084877,4.0
39.0,11.0,27480.038121623566,5.0
40.0,1.0,29231.98349074031,Inf
40.0,2.0,30966.210035890057,-4.0
40.0,3.0,31550.236860150588,Inf
40.0,4.0,30279.988383271313,-2.0
40.0,5.0,28559.837766604818,Inf
40.0,6.0,29281.129157134274,Inf
40.0,7.0,29574.905657512347,Inf
40.0,8.0,29529.662791629868,Inf
40.0,9.0,27338.01260965365,3.0
40.0,10.0,29429.290165853017,Inf
40.0,11.0,31551.50880421777,5.0
41.0,1.0,28598.424275267418,Inf
41.0,2.0,31197.647584107537,Inf
41.0,3.0,30382.83811051767,Inf
41.0,4.0,29498.365372392545,Inf
41.0,5.0,29633.191577645517,Inf
41.0,6.0,30631.117015872456,Inf
41.0,7.0,27710.474932549172,1.0
41.0,8.0,29325.786465449713,2.0
41.0,9.0,31481.987299253626,3.0
41.0,10.0,28287.533876974696,Inf
41.0,11.0,29395.57798994818,5.0
42.0,1.0,30398.246134932524,-5.0
42.0,2.0,29378.915164233324,Inf
42.0,3.0,29633.23838109307,Inf
42.0,4.0,29767.041956334626,Inf
42.0,5.0,29948.95779073613,-1.0
42.0,6.0,28965.984815384745,Inf
42.0,7.0,31077.691709954048,Inf
42.0,8.0,31772.376057494992,Inf
42.0,9.0,30126.242667405026,3.0
42.0,10.0,30947.13200875192,Inf
42.0,11.0,31370.19165780845,Inf
43.0,1.0,30590.154083136586,-5.0
43.0,2.0,29807.648374301512,Inf
43.0,3.0,29838.872726353497,Inf
43.0,4.0,29465.524473150657,-2.0
43.0,5.0,28127.1975010346,-1.0
43.0,6.0,29570.66211003253,0.0
43.0,7.0,30187.460428025333,1.0
43.0,8.0,29683.399336954833,Inf
43.0,9.0,30612.666875690586,3.0
43.0,10.0,31034.970126713575,Inf
43.0,11.0,30912.17129277782,5.0
44.0,1.0,29918.52439818557,Inf
44.0,2.0,31684.29138793542,-4.0
44.0,3.0,29283.61465897687,Inf
44.0,4.0,29566.867340216868,-2.0
44.0,5.0,28556.845449620625,Inf
44.0,6.0,30223.23355311479,0.0
44.0,7.0,31632.124997191855,Inf
44.0,8.0,29092.727683634304,2.0
44.0,9.0,28963.322591521606,Inf
44.0,10.0,29440.667795166984,Inf
44.0,11.0,29879.824412083653,Inf
45.0,1.0,29956.623882459688,Inf
45.0,2.0,27961.832768829958,-4.0
45.0,3.0,30053.624595747442,-3.0
45.0,4.0,29199.360542460232,-2.0
45.0,5.0,29882.249927919558,Inf
45.0,6.0,28050.20412380759,0.0
45.0,7.0,29914.996833268764,1.0
45.0,8.0,30378.78692755515,Inf
45.0,9.0,29433.623055667194,Inf
45.0,10.0,29406.26587366004,4.0
45.0,11.0,29851.345663354776,5.0
46.0,1.0,28699.47352140496,-5.0
46.0,2.0,31332.117105626625,Inf
46.0,3.0,31430.847350360542,-3.0
46.0,4.0,29259.12198773617,Inf
46.0,5.0,28982.41267632485,Inf
46.0,6.0,29131.23022802981,0.0
46.0,7.0,30409.78258163976,1.0
46.0,8.0,31035.114542032927,Inf
46.0,9.0,31028.734310439355,3.0
46.0,10.0,31279.1173807728,4.0
46.0,11.0,30495.406253611935,Inf
47.0,1.0,28675.628408967572,Inf
47.0,2.0,29083.864095035184,-4.0
47.0,3.0,29286.938168487162,-3.0
47.0,4.0,30936.79949563377,-2.0
47.0,5.0,30211.236345201934,-1.0
47.0,6.0,30311.143992339184,Inf
47.0,7.0,29687.101301980347,Inf
47.0,8.0,30063.77294165826,2.0
47.0,9.0,30944.146753242458,Inf
47.0,10.0,29555.919902000896,4.0
47.0,11.0,28659.507213328816,5.0
48.0,1.0,27905.109670241545,Inf
48.0,2.0,28044.510445471158,-4.0
48.0,3.0,30857.485622658867,Inf
48.0,4.0,29717.005503317567,-2.0
48.0,5.0,29137.92203037128,Inf
48.0,6.0,29702.803528465458,Inf
48.0,7.0,28375.695500031696,Inf
48.0,8.0,29968.530118876293,2.0
48.0,9.0,30326.372990999083,Inf
48.0,10.0,32528.683208776856,4.0
48.0,11.0,30531.82975052694,Inf
49.0,1.0,31316.654125483747,Inf
49.0,2.0,30796.13366536683,Inf
49.0,3.0,29408.204671969375,Inf
49.0,4.0,30510.123726242364,-2.0
49.0,5.0,30098.63179357513,Inf
49.0,6.0,30081.30473099569,Inf
49.0,7.0,31498.73211355776,1.0
49.0,8.0,30577.492519337342,2.0
49.0,9.0,30551.71594845228,Inf
49.0,10.0,30771.59756540782,4.0
49.0,11.0,30581.937117155307,Inf
50.0,1.0,31325.827467902724,-5.0
50.0,2.0,31883.930348669364,Inf
50.0,3.0,29112.609854513023,-3.0
50.0,4.0,30058.87555314824,-2.0
50.0,5.0,29020.64436109132,Inf
50.0,6.0,30527.745177461493,Inf
50.0,7.0,30409.714998649568,Inf
50.0,8.0,30292.389258587486,2.0
50.0,9.0,31683.731966262872,3.0
50.0,10.0,30055.468749007177,4.0
50.0,11.0,31340.26665097265,5.0
51.0,1.0,30905.11400680569,Inf
51.0,2.0,29923.00998233489,Inf
51.0,3.0,29209.644747404986,Inf
51.0,4.0,31386.424684410747,Inf
51.0,5.0,28558.43469524042,Inf
51.0,6.0,31141.33687278686,Inf
51.0,7.0,30973.04431618437,1.0
51.0,8.0,30694.111233121064,Inf
51.0,9.0,29405.658434017667,3.0
51.0,10.0,30342.985527947505,Inf
51.0,11.0,30101.80201273566,Inf
52.0,1.0,31714.28501549999,-5.0
52.0,2.0,30769.23896786364,Inf
52.0,3.0,28563.701958146547,Inf
52.0,4.0,30285.910279763633,Inf
52.0,5.0,31274.467819481233,-1.0
52.0,6.0,29374.896032805995,Inf
52.0,7.0,29800.072199133097,Inf
52.0,8.0,29453.38764259089,2.0
52.0,9.0,30600.77403614026,3.0
52.0,10.0,31592.211362168717,4.0
52.0,11.0,29705.606881540894,Inf
53.0,1.0,28783.58700091604,Inf
53.0,2.0,30010.031487180997,Inf
53.0,3.0,30389.786095828113,-3.0
53.0,4.0,30444.37060781855,Inf
53.0,5.0,30277.062673152526,Inf
53.0,6.0,28777.002485774286,Inf
53.0,7.0,29959.273137976197,Inf
53.0,8.0,30066.809598966003,Inf
53.0,9.0,29355.621298937447,3.0
53.0,10.0,29498.527289602294,Inf
53.0,11.0,30743.34987426248,Inf
54.0,1.0,30672.538920451498,Inf
54.0,2.0,30518.99267174854,-4.0
54.0,3.0,29612.33798611285,-3.0
54.0,4.0,28361.307196089725,Inf
54.0,5.0,30845.61508169827,Inf
54.0,6.0,30098.92974683889,0.0
54.0,7.0,30421.877238497145,1.0
54.0,8.0,29634.21897938047,2.0
54.0,9.0,29025.7330939575,Inf
54.0,10.0,29380.631641554774,4.0
54.0,11.0,28635.354127222483,Inf
55.0,1.0,30195.31593474156,Inf
55.0,2.0,29726.05975029789,Inf
55.0,3.0,30454.18012204897,Inf
55.0,4.0,31440.171476641724,Inf
55.0,5.0,27815.106032641375,-1.0
55.0,6.0,29970.87292139378,Inf
55.0,7.0,29977.555147293842,1.0
55.0,8.0,29878.185447582528,2.0
55.0,9.0,28901.952120764727,Inf
55.0,10.0,29141.24217681496,4.0
55.0,11.0,30716.685750001194,Inf
56.0,1.0,29453.14354907665,Inf
56.0,2.0,28900.15490593924,Inf
56.0,3.0,30394.010302151233,Inf
56.0,4.0,30252.27241538918,-2.0
56.0,5.0,30547.562229290168,-1.0
56.0,6.0,28816.99315056601,Inf
56.0,7.0,31721.104220118094,1.0
56.0,8.0,29449.57378939791,2.0
56.0,9.0,28786.26865178724,3.0
56.0,10.0,29553.43841268999,Inf
56.0,11.0,30975.850068129763,5.0
57.0,1.0,30032.50647304786,Inf
57.0,2.0,30819.501298996132,-4.0
57.0,3.0,30536.998630654158,-3.0
57.0,4.0,28897.59364641371,Inf
57.0,5.0,30541.179558018182,Inf
57.0,6.0,31068.89881175238,0.0
57.0,7.0,30082.708737908888,Inf
57.0,8.0,30734.693246714698,Inf
57.0,9.0,31758.725435788834,3.0
57.0,10.0,29697.141395326616,Inf
57.0,11.0,31112.615195578477,5.0
58.0,1.0,29163.335854051682,Inf
58.0,2.0,30231.61643296004,Inf
58.0,3.0,29805.263848420513,-3.0
58.0,4.0,28730.07751045806,-2.0
58.0,5.0,31961.829075103542,-1.0
58.0,6.0,31463.130068625123,Inf
58.0,7.0,29567.292095535882,Inf
58.0,8.0,28771.353513096252,Inf
58.0,9.0,29853.235946424564,Inf
58.0,10.0,31364.276881020498,Inf
58.0,11.0,31662.79370307114,Inf
59.0,1.0,30443.404043211533,-5.0
59.0,2.0,29192.694641294485,-4.0
59.0,3.0,30892.281217542124,Inf
59.0,4.0,28750.22304547747,Inf
59.0,5.0,30223.709689758536,-1.0
59.0,6.0,30361.11283556623,Inf
59.0,7.0,28822.33534032619,1.0
59.0,8.0,31019.313918005955,Inf
59.0,9.0,30530.04381764547,3.0
59.0,10.0,30373.47031168974,4.0
59.0,11.0,30467.44659656935,Inf
60.0,1.0,31145.820345445725,Inf
60.0,2.0,29358.368580707287,-4.0
60.0,3.0,30584.667205356487,Inf
60.0,4.0,30939.537643242165,Inf
60.0,5.0,31666.314944913694,Inf
60.0,6.0,28625.598625863826,0.0
60.0,7.0,31532.463479307582,1.0
60.0,8.0,29433.990102995034,Inf
60.0,9.0,30406.887024881904,Inf
60.0,10.0,29385.056882881116,Inf
60.0,11.0,31412.295689030703,5.0
61.0,1.0,31526.84166395922,-5.0
61.0,2.0,28614.37265293941,Inf
61.0,3.0,31007.011788421296,Inf
61.0,4.0,29450.849505344133,-2.0
61.0,5.0,27657.213863222176,-1.0
61.0,6.0,30058.789830383565,Inf
61.0,7.0,30249.065561596006,Inf
61.0,8.0,32084.85716116796,2.0
61.0,9.0,30370.545641392015,3.0
61.0,10.0,30024.564940548426,4.0
61.0,11.0,30296.72656590483,5.0
62.0,1.0,28689.146741612294,-5.0
62.0,2.0,29780.135173718532,-4.0
62.0,3.0,28418.991789696895,Inf
62.0,4.0,29193.787036984962,Inf
62.0,5.0,28976.143328798906,-1.0
62.0,6.0,30902.358426861556,Inf
62.0,7.0,29115.07886831219,1.0
62.0,8.0,31027.105034866527,Inf
62.0,9.0,29399.552454458484,3.0
62.0,10.0,30576.111216628862,4.0
62.0,11.0,30966.896746451355,Inf
63.0,1.0,28512.29312362181,-5.0
63.0,2.0,29279.7082107636,Inf
63.0,3.0,27985.410611186027,Inf
63.0,4.0,29649.303497096054,-2.0
63.0,5.0,30650.43365936046,Inf
63.0,6.0,29574.7188935779,Inf
63.0,7.0,30498.057821562743,Inf
63.0,8.0,29470.66400790961,2.0
63.0,9.0,29766.787424113583,Inf
